No.,FREQUENCY(MHz),Z,D,Cs
392,2.0930,17.4818,0.02485,0.000000004351
393,2.1094,17.3435,0.02498,0.000000004352
394,2.1258,17.2086,0.02506,0.000000004352
395,2.1424,17.0733,0.02518,0.000000004353
396,2.1592,16.9386,0.02532,0.000000004353
397,2.1760,16.8061,0.02543,0.000000004353
398,2.1930,16.6736,0.02554,0.000000004354
399,2.2101,16.5428,0.02567,0.000000004355
400,2.2274,16.4121,0.02577,0.000000004355
401,2.2448,16.2836,0.02594,0.000000004356
402,2.2623,16.1554,0.02604,0.000000004356
403,2.2800,16.0275,0.02617,0.000000004357
404,2.2978,15.9019,0.02632,0.000000004357
405,2.3157,15.7768,0.02647,0.000000004358
406,2.3338,15.6524,0.02659,0.000000004358
407,2.3520,15.5289,0.02673,0.000000004359
408,2.3704,15.4060,0.02689,0.00000000436
409,2.3889,15.2845,0.02703,0.00000000436
410,2.4076,15.1633,0.02711,0.000000004361
411,2.4263,15.0444,0.02728,0.000000004362
412,2.4453,14.9252,0.02741,0.000000004362
413,2.4644,14.8069,0.02756,0.000000004363
414,2.4836,14.6901,0.02768,0.000000004364
415,2.5030,14.5740,0.02786,0.000000004365
416,2.5226,14.4581,0.0280,0.000000004365
417,2.5423,14.3433,0.02818,0.000000004366
418,2.5621,14.2301,0.0283,0.000000004367
419,2.5821,14.1177,0.02848,0.000000004368
420,2.6023,14.0049,0.02858,0.000000004369
421,2.6226,13.8944,0.02876,0.000000004369
422,2.6431,13.7840,0.02892,0.00000000437
423,2.6637,13.6746,0.02909,0.000000004371
424,2.6845,13.5655,0.02921,0.000000004372
425,2.7055,13.4575,0.0294,0.000000004373
426,2.7266,13.3509,0.02956,0.000000004374
427,2.7479,13.2446,0.02971,0.000000004375
428,2.7694,13.1387,0.02987,0.000000004376
429,2.7910,13.0342,0.0300,0.000000004377
430,2.8128,12.9302,0.03018,0.000000004378
431,2.8347,12.8277,0.03029,0.000000004379
432,2.8569,12.7242,0.03055,0.00000000438
433,2.8792,12.6226,0.03069,0.000000004381
434,2.9017,12.5219,0.03081,0.000000004382
435,2.9243,12.4228,0.03105,0.000000004383
436,2.9471,12.3231,0.0312,0.000000004384
437,2.9702,12.2241,0.0314,0.000000004386
438,2.9934,12.1264,0.03153,0.000000004387
439,3.0167,12.0291,0.03175,0.000000004388
440,3.0403,11.9327,0.03194,0.000000004389
441,3.0640,11.8370,0.03212,0.000000004391
442,3.0879,11.7424,0.03229,0.000000004392
443,3.1121,11.6476,0.03245,0.000000004393
444,3.1364,11.5537,0.03269,0.000000004394
445,3.1608,11.4612,0.03282,0.000000004396
446,3.1855,11.3687,0.0330,0.000000004397
447,3.2104,11.2769,0.03323,0.000000004399
448,3.2355,11.1859,0.03341,0.0000000044
449,3.2607,11.0959,0.03364,0.000000004401
450,3.2862,11.0060,0.03381,0.000000004403
451,3.3119,10.9172,0.03405,0.000000004404
452,3.3377,10.8286,0.03423,0.000000004406
453,3.3638,10.7409,0.03443,0.000000004408
454,3.3900,10.6545,0.03464,0.000000004409
455,3.4165,10.5675,0.03489,0.000000004411
