No.,FREQUENCY(MHz),Z,D,PH
355,1.5696,3.33779,0.42819,-66.8200
356,1.5819,3.31417,0.43011,-66.7270
357,1.5942,3.2926,0.43191,-66.6400
358,1.6067,3.26968,0.43389,-66.5440
359,1.6192,3.24827,0.43571,-66.4570
360,1.6318,3.22601,0.43749,-66.3710
361,1.6446,3.20409,0.43941,-66.2790
362,1.6574,3.18281,0.44127,-66.1900
363,1.6704,3.16099,0.44318,-66.0980
364,1.6834,3.13969,0.44517,-66.0030
365,1.6966,3.11786,0.44686,-65.9220
366,1.7098,3.09681,0.44893,-65.8230
367,1.7232,3.07551,0.45052,-65.7480
368,1.7366,3.05504,0.45283,-65.6370
369,1.7502,3.03445,0.45456,-65.5560
370,1.7638,3.01415,0.45656,-65.4600
371,1.7776,2.99308,0.45858,-65.3650
372,1.7915,2.97228,0.46059,-65.2700
373,1.8055,2.95186,0.46255,-65.1770
374,1.8196,2.93132,0.46476,-65.0730
375,1.8338,2.91154,0.46656,-64.9880
376,1.8481,2.89146,0.46892,-64.8770
377,1.8625,2.87106,0.47071,-64.7930
378,1.8771,2.85162,0.47293,-64.6890
379,1.8917,2.83159,0.47496,-64.5940
380,1.9065,2.81202,0.47723,-64.4880
381,1.9214,2.79259,0.47914,-64.3990
382,1.9364,2.77307,0.48162,-64.2840
383,1.9515,2.75381,0.48371,-64.1860
384,1.9667,2.73444,0.48591,-64.0850
385,1.9821,2.71594,0.48795,-63.9900
386,1.9976,2.6967,0.49028,-63.8820
387,2.0132,2.67742,0.49255,-63.7770
388,2.0289,2.65866,0.49472,-63.6780
389,2.0447,2.63962,0.4973,-63.5590
390,2.0607,2.62132,0.49951,-63.4570
391,2.0768,2.60295,0.50188,-63.3490
392,2.0930,2.58475,0.50415,-63.2450
393,2.1094,2.56662,0.50661,-63.1330
394,2.1258,2.54815,0.50891,-63.0280
395,2.1424,2.53031,0.51112,-62.9280
396,2.1592,2.51167,0.51403,-62.7950
397,2.1760,2.4938,0.51648,-62.6850
398,2.1930,2.47657,0.51908,-62.5670
399,2.2101,2.45875,0.5214,-62.4630
400,2.2274,2.44087,0.52404,-62.3440
401,2.2448,2.42335,0.52655,-62.2310
402,2.2623,2.40532,0.52905,-62.1190
403,2.2800,2.38836,0.53175,-61.9980
404,2.2978,2.37111,0.53456,-61.8730
405,2.3157,2.35394,0.53715,-61.7580
406,2.3338,2.33685,0.53984,-61.6380
407,2.3520,2.31987,0.54266,-61.5130
408,2.3704,2.3030,0.54553,-61.3860
409,2.3889,2.28567,0.54839,-61.2600
410,2.4076,2.26949,0.55111,-61.1400
411,2.4263,2.25209,0.55403,-61.0120
412,2.4453,2.2358,0.55676,-60.8930
413,2.4644,2.21916,0.55952,-60.7720
414,2.4836,2.20274,0.56261,-60.6370
415,2.5030,2.18633,0.56585,-60.4970
416,2.5226,2.17007,0.56871,-60.3730
417,2.5423,2.15399,0.57179,-60.2400
418,2.5621,2.13733,0.57515,-60.0950
419,2.5821,2.1221,0.57839,-59.9550
420,2.6023,2.10552,0.58154,-59.8200
421,2.6226,2.08937,0.58472,-59.6840
422,2.6431,2.07291,0.5878,-59.5530
423,2.6637,2.05749,0.59155,-59.3940
424,2.6845,2.04191,0.59494,-59.2500
425,2.7055,2.02648,0.59809,-59.1170
426,2.7266,2.01111,0.60158,-58.9700
427,2.7479,1.99529,0.60526,-58.8150
428,2.7694,1.97937,0.60905,-58.6570
429,2.7910,1.96417,0.61255,-58.5110
430,2.8128,1.94909,0.61634,-58.3530
431,2.8347,1.93358,0.61975,-58.2120
432,2.8569,1.91893,0.62397,-58.0370
433,2.8792,1.90335,0.62741,-57.8960
434,2.9017,1.88781,0.63149,-57.7280
435,2.9243,1.87304,0.63507,-57.5820
436,2.9471,1.85865,0.63941,-57.4050
437,2.9702,1.8434,0.64354,-57.2370
438,2.9934,1.8286,0.64766,-57.0700
439,3.0167,1.81396,0.65198,-56.8960
440,3.0403,1.79944,0.65648,-56.7160
441,3.0640,1.78496,0.66059,-56.5520
442,3.0879,1.76994,0.66478,-56.3850
443,3.1121,1.75539,0.66989,-56.1820
444,3.1364,1.74119,0.67439,-56.0050
445,3.1608,1.7264,0.6787,-55.8350
446,3.1855,1.71207,0.68404,-55.6260
447,3.2104,1.69811,0.68833,-55.4590
448,3.2355,1.68446,0.6936,-55.2550
449,3.2607,1.66971,0.69855,-55.0640
450,3.2862,1.65583,0.7038,-54.8620
451,3.3119,1.64188,0.70924,-54.6540
452,3.3377,1.6275,0.71488,-54.4400
453,3.3638,1.61357,0.71995,-54.2480
454,3.3900,1.59998,0.72561,-54.0350
455,3.4165,1.58636,0.73132,-53.8210
456,3.4432,1.57239,0.73729,-53.5990
457,3.4701,1.55875,0.74306,-53.3850
458,3.4972,1.5451,0.74892,-53.1700
459,3.5245,1.53102,0.75523,-52.9390
