Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.733333e+08,-1.445312e+00,-1.450195e+00,-2.290039e+00
1.746667e+08,-1.469727e+00,-1.474609e+00,-2.290039e+00
1.760000e+08,-1.489258e+00,-1.489258e+00,-2.319336e+00
1.773333e+08,-1.455078e+00,-1.455078e+00,-2.314453e+00
1.786667e+08,-1.469727e+00,-1.469727e+00,-2.338867e+00
1.800000e+08,-1.479492e+00,-1.479492e+00,-2.343750e+00
1.813333e+08,-1.494141e+00,-1.499023e+00,-2.373047e+00
1.826667e+08,-1.513672e+00,-1.513672e+00,-2.387695e+00
1.840000e+08,-1.518555e+00,-1.518555e+00,-2.421875e+00
1.853333e+08,-1.508789e+00,-1.523438e+00,-2.397461e+00
1.866667e+08,-1.518555e+00,-1.518555e+00,-2.426758e+00
1.880000e+08,-1.528320e+00,-1.528320e+00,-2.441406e+00
1.893333e+08,-1.547852e+00,-1.547852e+00,-2.480469e+00
1.906667e+08,-1.552734e+00,-1.557617e+00,-2.500000e+00
1.920000e+08,-1.538086e+00,-1.538086e+00,-2.495117e+00
1.933333e+08,-1.562500e+00,-1.562500e+00,-2.504883e+00
1.946667e+08,-1.567383e+00,-1.567383e+00,-2.568359e+00
1.960000e+08,-1.577148e+00,-1.577148e+00,-2.578125e+00
1.973333e+08,-1.582031e+00,-1.582031e+00,-2.568359e+00
1.986667e+08,-1.562500e+00,-1.562500e+00,-2.587891e+00
2.000000e+08,-1.567383e+00,-1.567383e+00,-2.626953e+00
2.013333e+08,-1.591797e+00,-1.591797e+00,-2.656250e+00
2.026667e+08,-1.567383e+00,-1.572266e+00,-2.661133e+00
2.040000e+08,-1.562500e+00,-1.562500e+00,-2.656250e+00
2.053333e+08,-1.572266e+00,-1.572266e+00,-2.685547e+00
2.066667e+08,-1.572266e+00,-1.572266e+00,-2.700195e+00
2.080000e+08,-1.547852e+00,-1.572266e+00,-2.719727e+00
2.093333e+08,-1.518555e+00,-1.542969e+00,-2.705078e+00
2.106667e+08,-1.523438e+00,-1.533203e+00,-2.709961e+00
2.120000e+08,-1.499023e+00,-1.499023e+00,-2.670898e+00
2.133333e+08,-1.503906e+00,-1.503906e+00,-2.695312e+00
2.146667e+08,-1.469727e+00,-1.469727e+00,-2.680664e+00
2.160000e+08,-1.450195e+00,-1.450195e+00,-2.661133e+00
2.173333e+08,-1.464844e+00,-1.464844e+00,-2.700195e+00
2.186667e+08,-1.406250e+00,-1.406250e+00,-2.626953e+00
2.200000e+08,-1.391602e+00,-1.401367e+00,-2.651367e+00
2.213333e+08,-1.391602e+00,-1.391602e+00,-2.626953e+00
2.226667e+08,-1.337891e+00,-1.337891e+00,-2.597656e+00
2.240000e+08,-1.333008e+00,-1.347656e+00,-2.583008e+00
2.253333e+08,-1.328125e+00,-1.328125e+00,-2.553711e+00
2.266667e+08,-1.269531e+00,-1.269531e+00,-2.534180e+00
2.280000e+08,-1.264648e+00,-1.279297e+00,-2.500000e+00
2.293333e+08,-1.215820e+00,-1.245117e+00,-2.485352e+00
2.306667e+08,-1.201172e+00,-1.201172e+00,-2.436523e+00
2.320000e+08,-1.196289e+00,-1.196289e+00,-2.441406e+00
2.333333e+08,-1.176758e+00,-1.176758e+00,-2.407227e+00
2.346667e+08,-1.162109e+00,-1.186523e+00,-2.397461e+00
2.360000e+08,-1.152344e+00,-1.171875e+00,-2.363281e+00
2.373333e+08,-1.142578e+00,-1.142578e+00,-2.329102e+00
2.386667e+08,-1.132812e+00,-1.137695e+00,-2.324219e+00
2.400000e+08,-1.054688e+00,-1.054688e+00,-2.275391e+00
2.413333e+08,-1.079102e+00,-1.098633e+00,-2.275391e+00
2.426667e+08,-1.049805e+00,-1.049805e+00,-2.216797e+00
2.440000e+08,-1.064453e+00,-1.074219e+00,-2.226562e+00
2.453333e+08,-1.035156e+00,-1.074219e+00,-2.202148e+00
2.466667e+08,-1.054688e+00,-1.059570e+00,-2.202148e+00
2.480000e+08,-1.040039e+00,-1.044922e+00,-2.167969e+00
2.493333e+08,-1.015625e+00,-1.020508e+00,-2.158203e+00
2.506667e+08,-1.000977e+00,-1.000977e+00,-2.158203e+00
2.520000e+08,-1.015625e+00,-1.049805e+00,-2.153320e+00
2.533333e+08,-1.035156e+00,-1.049805e+00,-2.158203e+00
2.546667e+08,-1.049805e+00,-1.059570e+00,-2.148438e+00
2.560000e+08,-1.010742e+00,-1.010742e+00,-2.138672e+00
2.573333e+08,-1.030273e+00,-1.030273e+00,-2.143555e+00
2.586667e+08,-1.044922e+00,-1.059570e+00,-2.153320e+00
2.600000e+08,-1.025391e+00,-1.025391e+00,-2.124023e+00
2.613333e+08,-1.040039e+00,-1.040039e+00,-2.163086e+00
2.626667e+08,-1.074219e+00,-1.093750e+00,-2.163086e+00
2.640000e+08,-1.074219e+00,-1.074219e+00,-2.153320e+00
2.653333e+08,-1.044922e+00,-1.049805e+00,-2.119141e+00
2.666667e+08,-1.074219e+00,-1.088867e+00,-2.133789e+00
2.680000e+08,-1.040039e+00,-1.040039e+00,-2.119141e+00
2.693333e+08,-1.044922e+00,-1.049805e+00,-2.104492e+00
2.706667e+08,-1.030273e+00,-1.030273e+00,-2.089844e+00
2.720000e+08,-1.030273e+00,-1.049805e+00,-2.124023e+00
2.733333e+08,-1.035156e+00,-1.035156e+00,-2.080078e+00
2.746667e+08,-1.044922e+00,-1.044922e+00,-2.114258e+00
2.760000e+08,-1.069336e+00,-1.069336e+00,-2.133789e+00
2.773333e+08,-1.083984e+00,-1.083984e+00,-2.153320e+00
2.786667e+08,-1.079102e+00,-1.083984e+00,-2.133789e+00
2.800000e+08,-1.064453e+00,-1.064453e+00,-2.158203e+00
2.813333e+08,-1.079102e+00,-1.083984e+00,-2.114258e+00
2.826667e+08,-1.093750e+00,-1.093750e+00,-2.153320e+00
2.840000e+08,-1.079102e+00,-1.079102e+00,-2.133789e+00
2.853333e+08,-1.069336e+00,-1.069336e+00,-2.143555e+00
2.866667e+08,-1.108398e+00,-1.108398e+00,-2.143555e+00
2.880000e+08,-1.098633e+00,-1.098633e+00,-2.167969e+00
2.893333e+08,-1.098633e+00,-1.118164e+00,-2.153320e+00
2.906667e+08,-1.064453e+00,-1.064453e+00,-2.128906e+00
2.920000e+08,-1.079102e+00,-1.079102e+00,-2.158203e+00
2.933333e+08,-1.044922e+00,-1.064453e+00,-2.124023e+00
2.946667e+08,-1.054688e+00,-1.059570e+00,-2.133789e+00
2.960000e+08,-1.054688e+00,-1.054688e+00,-2.167969e+00
2.973333e+08,-1.040039e+00,-1.049805e+00,-2.128906e+00
2.986667e+08,-1.030273e+00,-1.030273e+00,-2.114258e+00
3.000000e+08,-1.030273e+00,-1.030273e+00,-2.124023e+00
3.013333e+08,-1.030273e+00,-1.030273e+00,-2.148438e+00
3.026667e+08,-1.030273e+00,-1.030273e+00,-2.163086e+00
3.040000e+08,-1.005859e+00,-1.035156e+00,-2.172852e+00
3.053333e+08,-1.030273e+00,-1.030273e+00,-2.177734e+00
3.066667e+08,-1.020508e+00,-1.030273e+00,-2.167969e+00
3.080000e+08,-1.044922e+00,-1.044922e+00,-2.211914e+00
3.093333e+08,-1.044922e+00,-1.064453e+00,-2.197266e+00
3.106667e+08,-1.030273e+00,-1.035156e+00,-2.192383e+00
3.120000e+08,-1.035156e+00,-1.040039e+00,-2.216797e+00
3.133333e+08,-1.049805e+00,-1.049805e+00,-2.216797e+00
3.146667e+08,-1.035156e+00,-1.035156e+00,-2.236328e+00
3.160000e+08,-1.020508e+00,-1.030273e+00,-2.207031e+00
3.173333e+08,-1.030273e+00,-1.030273e+00,-2.241211e+00
3.186667e+08,-1.049805e+00,-1.059570e+00,-2.236328e+00
3.200000e+08,-1.035156e+00,-1.035156e+00,-2.216797e+00
3.213333e+08,-1.025391e+00,-1.025391e+00,-2.221680e+00
3.226667e+08,-1.000977e+00,-1.025391e+00,-2.211914e+00
3.240000e+08,-1.010742e+00,-1.010742e+00,-2.216797e+00
3.253333e+08,-1.030273e+00,-1.044922e+00,-2.231445e+00
3.266667e+08,-1.000977e+00,-1.000977e+00,-2.226562e+00
3.280000e+08,-9.716797e-01,-9.960938e-01,-2.192383e+00
3.293333e+08,-1.020508e+00,-1.020508e+00,-2.207031e+00
3.306667e+08,-1.015625e+00,-1.015625e+00,-2.207031e+00
3.320000e+08,-1.005859e+00,-1.005859e+00,-2.202148e+00
3.333333e+08,-1.005859e+00,-1.015625e+00,-2.202148e+00
3.346667e+08,-1.000977e+00,-1.000977e+00,-2.207031e+00
3.360000e+08,-9.960938e-01,-1.010742e+00,-2.187500e+00
3.373333e+08,-1.005859e+00,-1.005859e+00,-2.187500e+00
3.386667e+08,-9.814453e-01,-9.814453e-01,-2.167969e+00
3.400000e+08,-9.765625e-01,-9.765625e-01,-2.163086e+00
3.413333e+08,-9.912109e-01,-9.912109e-01,-2.177734e+00
3.426667e+08,-9.863281e-01,-9.863281e-01,-2.163086e+00
3.440000e+08,-9.521484e-01,-9.667969e-01,-2.124023e+00
3.453333e+08,-9.765625e-01,-9.765625e-01,-2.143555e+00
3.466667e+08,-9.765625e-01,-9.765625e-01,-2.138672e+00
3.480000e+08,-1.000977e+00,-1.000977e+00,-2.153320e+00
3.493333e+08,-9.716797e-01,-9.912109e-01,-2.158203e+00
3.506667e+08,-9.912109e-01,-9.912109e-01,-2.187500e+00
3.520000e+08,-9.814453e-01,-9.960938e-01,-2.143555e+00
3.533333e+08,-1.010742e+00,-1.010742e+00,-2.197266e+00
3.546667e+08,-9.912109e-01,-9.912109e-01,-2.207031e+00
3.560000e+08,-9.863281e-01,-9.863281e-01,-2.182617e+00
3.573333e+08,-1.020508e+00,-1.020508e+00,-2.202148e+00
3.586667e+08,-1.040039e+00,-1.044922e+00,-2.246094e+00
3.600000e+08,-1.005859e+00,-1.005859e+00,-2.226562e+00
3.613333e+08,-1.030273e+00,-1.030273e+00,-2.236328e+00
3.626667e+08,-9.960938e-01,-9.960938e-01,-2.260742e+00
3.640000e+08,-1.015625e+00,-1.015625e+00,-2.250977e+00
3.653333e+08,-1.005859e+00,-1.005859e+00,-2.207031e+00
3.666667e+08,-1.005859e+00,-1.005859e+00,-2.216797e+00
3.680000e+08,-1.035156e+00,-1.035156e+00,-2.275391e+00
3.693333e+08,-1.049805e+00,-1.049805e+00,-2.290039e+00
3.706667e+08,-1.025391e+00,-1.025391e+00,-2.280273e+00
3.720000e+08,-1.030273e+00,-1.044922e+00,-2.285156e+00
3.733333e+08,-9.960938e-01,-1.035156e+00,-2.280273e+00
3.746667e+08,-1.005859e+00,-1.015625e+00,-2.270508e+00
3.760000e+08,-9.960938e-01,-1.030273e+00,-2.319336e+00
3.773333e+08,-1.010742e+00,-1.010742e+00,-2.250977e+00
3.786667e+08,-9.375000e-01,-9.375000e-01,-2.280273e+00
3.800000e+08,-9.277344e-01,-9.423828e-01,-2.221680e+00
3.813333e+08,-9.033203e-01,-9.033203e-01,-2.197266e+00
3.826667e+08,-8.984375e-01,-9.033203e-01,-2.197266e+00
3.840000e+08,-8.837891e-01,-8.935547e-01,-2.163086e+00
3.853333e+08,-8.447266e-01,-8.593750e-01,-2.133789e+00
3.866667e+08,-8.251953e-01,-8.251953e-01,-2.104492e+00
3.880000e+08,-7.568359e-01,-7.763672e-01,-2.050781e+00
3.893333e+08,-7.226562e-01,-7.421875e-01,-2.006836e+00
3.906667e+08,-7.031250e-01,-7.275391e-01,-1.967773e+00
3.920000e+08,-7.031250e-01,-7.031250e-01,-1.967773e+00
3.933333e+08,-6.835938e-01,-6.884766e-01,-1.933594e+00
3.946667e+08,-6.347656e-01,-6.347656e-01,-1.943359e+00
3.960000e+08,-6.250000e-01,-6.250000e-01,-1.884766e+00
3.973333e+08,-6.250000e-01,-6.250000e-01,-1.855469e+00
3.986667e+08,-5.322266e-01,-5.664062e-01,-1.767578e+00
4.000000e+08,-5.322266e-01,-5.322266e-01,-1.762695e+00
4.013333e+08,-5.175781e-01,-5.175781e-01,-1.733398e+00
4.026667e+08,-5.126953e-01,-5.126953e-01,-1.699219e+00
4.040000e+08,-4.687500e-01,-4.687500e-01,-1.669922e+00
4.053333e+08,-4.736328e-01,-4.833984e-01,-1.660156e+00
4.066667e+08,-4.296875e-01,-4.492188e-01,-1.577148e+00
4.080000e+08,-4.248047e-01,-4.296875e-01,-1.596680e+00
4.093333e+08,-4.345703e-01,-4.443359e-01,-1.596680e+00
4.106667e+08,-3.955078e-01,-3.955078e-01,-1.533203e+00
4.120000e+08,-3.808594e-01,-3.906250e-01,-1.533203e+00
4.133333e+08,-3.906250e-01,-4.101562e-01,-1.523438e+00
4.146667e+08,-3.710938e-01,-3.906250e-01,-1.469727e+00
4.160000e+08,-3.564453e-01,-3.564453e-01,-1.455078e+00
4.173333e+08,-3.515625e-01,-3.613281e-01,-1.455078e+00
4.186667e+08,-3.369141e-01,-3.369141e-01,-1.411133e+00
4.200000e+08,-3.271484e-01,-3.271484e-01,-1.391602e+00
4.213333e+08,-3.125000e-01,-3.125000e-01,-1.362305e+00
4.226667e+08,-3.222656e-01,-3.222656e-01,-1.328125e+00
4.240000e+08,-3.417969e-01,-3.613281e-01,-1.362305e+00
4.253333e+08,-3.222656e-01,-3.222656e-01,-1.337891e+00
4.266667e+08,-3.173828e-01,-3.173828e-01,-1.347656e+00
4.280000e+08,-2.978516e-01,-2.978516e-01,-1.333008e+00
4.293333e+08,-3.369141e-01,-3.369141e-01,-1.352539e+00
4.306667e+08,-3.222656e-01,-3.222656e-01,-1.318359e+00
4.320000e+08,-2.783203e-01,-2.783203e-01,-1.308594e+00
4.333333e+08,-3.222656e-01,-3.222656e-01,-1.323242e+00
4.346667e+08,-3.076172e-01,-3.466797e-01,-1.323242e+00
4.360000e+08,-2.929688e-01,-3.027344e-01,-1.289062e+00
4.373333e+08,-2.685547e-01,-2.880859e-01,-1.279297e+00
4.386667e+08,-3.173828e-01,-3.564453e-01,-1.323242e+00
4.400000e+08,-3.222656e-01,-3.222656e-01,-1.308594e+00
4.413333e+08,-3.173828e-01,-3.173828e-01,-1.323242e+00
4.426667e+08,-3.466797e-01,-3.466797e-01,-1.313477e+00
4.440000e+08,-3.515625e-01,-3.564453e-01,-1.323242e+00
4.453333e+08,-3.417969e-01,-3.417969e-01,-1.328125e+00
4.466667e+08,-3.662109e-01,-3.710938e-01,-1.362305e+00
4.480000e+08,-3.466797e-01,-3.662109e-01,-1.333008e+00
4.493333e+08,-3.759766e-01,-3.759766e-01,-1.347656e+00
4.506667e+08,-3.759766e-01,-3.906250e-01,-1.376953e+00
4.520000e+08,-3.613281e-01,-3.710938e-01,-1.347656e+00
4.533333e+08,-3.808594e-01,-3.857422e-01,-1.376953e+00
4.546667e+08,-4.003906e-01,-4.003906e-01,-1.420898e+00
4.560000e+08,-4.345703e-01,-4.345703e-01,-1.435547e+00
4.573333e+08,-4.394531e-01,-4.443359e-01,-1.469727e+00
4.586667e+08,-4.394531e-01,-4.394531e-01,-1.455078e+00
4.600000e+08,-4.443359e-01,-4.443359e-01,-1.464844e+00
4.613333e+08,-4.638672e-01,-4.638672e-01,-1.494141e+00
4.626667e+08,-4.736328e-01,-4.736328e-01,-1.503906e+00
4.640000e+08,-4.931641e-01,-4.931641e-01,-1.533203e+00
4.653333e+08,-5.126953e-01,-5.273438e-01,-1.547852e+00
4.666667e+08,-5.468750e-01,-5.517578e-01,-1.586914e+00
4.680000e+08,-5.273438e-01,-5.566406e-01,-1.596680e+00
