Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
2.653333e+08,-2.231445e+00,-4.003906e+00,-5.537109e+00,-6.850586e+00
2.666667e+08,-2.236328e+00,-3.999023e+00,-5.556641e+00,-6.889648e+00
2.680000e+08,-2.226562e+00,-3.984375e+00,-5.556641e+00,-6.855469e+00
2.693333e+08,-2.260742e+00,-4.013672e+00,-5.546875e+00,-6.860352e+00
2.706667e+08,-2.231445e+00,-3.964844e+00,-5.512695e+00,-6.826172e+00
2.720000e+08,-2.260742e+00,-3.994141e+00,-5.522461e+00,-6.860352e+00
2.733333e+08,-2.255859e+00,-4.003906e+00,-5.537109e+00,-6.879883e+00
2.746667e+08,-2.290039e+00,-4.033203e+00,-5.537109e+00,-6.865234e+00
2.760000e+08,-2.290039e+00,-4.052734e+00,-5.561523e+00,-6.879883e+00
2.773333e+08,-2.265625e+00,-4.028320e+00,-5.581055e+00,-6.855469e+00
2.786667e+08,-2.211914e+00,-3.999023e+00,-5.566406e+00,-6.884766e+00
2.800000e+08,-2.260742e+00,-4.057617e+00,-5.600586e+00,-6.928711e+00
2.813333e+08,-2.294922e+00,-4.111328e+00,-5.639648e+00,-6.967773e+00
2.826667e+08,-2.280273e+00,-4.077148e+00,-5.620117e+00,-6.948242e+00
2.840000e+08,-2.290039e+00,-4.106445e+00,-5.678711e+00,-6.958008e+00
2.853333e+08,-2.275391e+00,-4.091797e+00,-5.654297e+00,-6.977539e+00
2.866667e+08,-2.299805e+00,-4.121094e+00,-5.698242e+00,-7.016602e+00
2.880000e+08,-2.324219e+00,-4.135742e+00,-5.727539e+00,-7.084961e+00
2.893333e+08,-2.270508e+00,-4.116211e+00,-5.688477e+00,-7.021484e+00
2.906667e+08,-2.270508e+00,-4.116211e+00,-5.683594e+00,-7.036133e+00
2.920000e+08,-2.290039e+00,-4.135742e+00,-5.722656e+00,-7.065430e+00
2.933333e+08,-2.304688e+00,-4.130859e+00,-5.717773e+00,-7.045898e+00
2.946667e+08,-2.309570e+00,-4.140625e+00,-5.756836e+00,-7.094727e+00
2.960000e+08,-2.329102e+00,-4.145508e+00,-5.756836e+00,-7.070312e+00
2.973333e+08,-2.333984e+00,-4.145508e+00,-5.756836e+00,-7.070312e+00
2.986667e+08,-2.319336e+00,-4.140625e+00,-5.742188e+00,-7.065430e+00
3.000000e+08,-2.368164e+00,-4.160156e+00,-5.742188e+00,-7.080078e+00
3.013333e+08,-2.348633e+00,-4.150391e+00,-5.698242e+00,-7.060547e+00
3.026667e+08,-2.373047e+00,-4.169922e+00,-5.737305e+00,-7.080078e+00
3.040000e+08,-2.368164e+00,-4.160156e+00,-5.771484e+00,-7.109375e+00
3.053333e+08,-2.368164e+00,-4.179688e+00,-5.737305e+00,-7.060547e+00
3.066667e+08,-2.392578e+00,-4.194336e+00,-5.786133e+00,-7.109375e+00
3.080000e+08,-2.368164e+00,-4.194336e+00,-5.756836e+00,-7.114258e+00
3.093333e+08,-2.373047e+00,-4.189453e+00,-5.717773e+00,-7.114258e+00
3.106667e+08,-2.407227e+00,-4.208984e+00,-5.732422e+00,-7.119141e+00
3.120000e+08,-2.392578e+00,-4.213867e+00,-5.751953e+00,-7.089844e+00
3.133333e+08,-2.412109e+00,-4.189453e+00,-5.756836e+00,-7.148438e+00
3.146667e+08,-2.431641e+00,-4.218750e+00,-5.815430e+00,-7.172852e+00
3.160000e+08,-2.407227e+00,-4.194336e+00,-5.766602e+00,-7.119141e+00
3.173333e+08,-2.402344e+00,-4.199219e+00,-5.756836e+00,-7.109375e+00
3.186667e+08,-2.382812e+00,-4.223633e+00,-5.751953e+00,-7.124023e+00
3.200000e+08,-2.426758e+00,-4.208984e+00,-5.766602e+00,-7.158203e+00
3.213333e+08,-2.373047e+00,-4.174805e+00,-5.722656e+00,-7.089844e+00
3.226667e+08,-2.377930e+00,-4.189453e+00,-5.751953e+00,-7.099609e+00
3.240000e+08,-2.358398e+00,-4.150391e+00,-5.727539e+00,-7.080078e+00
3.253333e+08,-2.363281e+00,-4.174805e+00,-5.698242e+00,-7.026367e+00
3.266667e+08,-2.343750e+00,-4.140625e+00,-5.737305e+00,-7.070312e+00
3.280000e+08,-2.348633e+00,-4.116211e+00,-5.708008e+00,-7.065430e+00
3.293333e+08,-2.377930e+00,-4.155273e+00,-5.727539e+00,-7.070312e+00
3.306667e+08,-2.358398e+00,-4.155273e+00,-5.683594e+00,-7.065430e+00
3.320000e+08,-2.338867e+00,-4.145508e+00,-5.659180e+00,-7.021484e+00
3.333333e+08,-2.343750e+00,-4.125977e+00,-5.673828e+00,-7.016602e+00
3.346667e+08,-2.338867e+00,-4.086914e+00,-5.673828e+00,-6.997070e+00
3.360000e+08,-2.333984e+00,-4.091797e+00,-5.649414e+00,-6.977539e+00
3.373333e+08,-2.314453e+00,-4.072266e+00,-5.644531e+00,-6.928711e+00
3.386667e+08,-2.319336e+00,-4.086914e+00,-5.625000e+00,-6.967773e+00
