Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
2.346667e+08,-9.326172e-01,-1.875000e+00,-2.885742e+00,-3.671875e+00
2.360000e+08,-8.935547e-01,-1.923828e+00,-2.885742e+00,-3.657227e+00
2.373333e+08,-9.472656e-01,-1.972656e+00,-2.915039e+00,-3.657227e+00
2.386667e+08,-9.277344e-01,-1.923828e+00,-2.827148e+00,-3.618164e+00
2.400000e+08,-9.228516e-01,-1.962891e+00,-2.846680e+00,-3.632812e+00
2.413333e+08,-9.619141e-01,-1.958008e+00,-2.817383e+00,-3.627930e+00
2.426667e+08,-9.130859e-01,-1.899414e+00,-2.832031e+00,-3.598633e+00
2.440000e+08,-9.130859e-01,-1.918945e+00,-2.822266e+00,-3.593750e+00
2.453333e+08,-9.326172e-01,-1.938477e+00,-2.851562e+00,-3.652344e+00
2.466667e+08,-9.033203e-01,-1.855469e+00,-2.744141e+00,-3.613281e+00
2.480000e+08,-9.130859e-01,-1.899414e+00,-2.822266e+00,-3.613281e+00
2.493333e+08,-9.130859e-01,-1.923828e+00,-2.817383e+00,-3.598633e+00
2.506667e+08,-9.130859e-01,-1.914062e+00,-2.802734e+00,-3.569336e+00
2.520000e+08,-8.984375e-01,-1.850586e+00,-2.768555e+00,-3.559570e+00
2.533333e+08,-8.740234e-01,-1.870117e+00,-2.778320e+00,-3.535156e+00
2.546667e+08,-8.935547e-01,-1.835938e+00,-2.807617e+00,-3.544922e+00
2.560000e+08,-8.935547e-01,-1.899414e+00,-2.832031e+00,-3.466797e+00
2.573333e+08,-8.691406e-01,-1.889648e+00,-2.749023e+00,-3.520508e+00
2.586667e+08,-8.740234e-01,-1.889648e+00,-2.739258e+00,-3.505859e+00
2.600000e+08,-9.082031e-01,-1.826172e+00,-2.729492e+00,-3.496094e+00
2.613333e+08,-8.886719e-01,-1.865234e+00,-2.783203e+00,-3.520508e+00
2.626667e+08,-9.472656e-01,-1.889648e+00,-2.797852e+00,-3.574219e+00
2.640000e+08,-8.837891e-01,-1.811523e+00,-2.734375e+00,-3.432617e+00
2.653333e+08,-8.740234e-01,-1.835938e+00,-2.729492e+00,-3.510742e+00
2.666667e+08,-8.984375e-01,-1.850586e+00,-2.724609e+00,-3.520508e+00
2.680000e+08,-9.521484e-01,-1.889648e+00,-2.749023e+00,-3.559570e+00
2.693333e+08,-9.228516e-01,-1.870117e+00,-2.783203e+00,-3.515625e+00
2.706667e+08,-8.837891e-01,-1.826172e+00,-2.724609e+00,-3.525391e+00
2.720000e+08,-8.691406e-01,-1.875000e+00,-2.739258e+00,-3.491211e+00
2.733333e+08,-9.130859e-01,-1.884766e+00,-2.763672e+00,-3.549805e+00
2.746667e+08,-8.691406e-01,-1.865234e+00,-2.768555e+00,-3.500977e+00
2.760000e+08,-9.228516e-01,-1.860352e+00,-2.807617e+00,-3.525391e+00
2.773333e+08,-8.935547e-01,-1.826172e+00,-2.763672e+00,-3.549805e+00
2.786667e+08,-9.130859e-01,-1.860352e+00,-2.778320e+00,-3.574219e+00
